"sec","power","rP","rG","pctP"
458,120,1989.40007374507,1807.57970521951,39.7880014749015
459,120,2023.94996881576,1827.70813400734,40.4789993763152
460,120,2058.12385964629,1847.80585170225,41.1624771929259
461,120,2091.92558400654,1867.87290516191,41.8385116801308
462,120,2125.35894352085,1887.9093411725,42.507178870417
463,120,2158.42770397409,1907.91520644881,43.1685540794819
464,120,2191.13559561554,1927.89054763435,43.8227119123107
465,120,2223.48631346044,1947.83541130146,44.4697262692088
466,120,2255.48351758952,1967.74984395144,45.1096703517903
467,120,2287.13083344618,1987.63389201463,45.7426166689237
468,120,2318.43185213163,2007.48760185053,46.3686370426326
469,120,2349.39013069776,2027.31101974789,46.9878026139552
470,120,2380.00919243795,2047.10419192487,47.600183848759
471,120,2410.29252717571,2066.86716452909,48.2058505435142
472,120,2440.24359155117,2086.59998363775,48.8048718310235
473,120,2469.86580930554,2106.30269525776,49.3973161861108
474,120,2499.16257156337,2125.97534532585,49.9832514312673
475,120,2528.13723711278,2145.61797970863,50.5627447422557
476,120,2556.79313268365,2165.23064420276,51.135862653673
477,120,2585.13355322365,2184.81338453499,51.702671064473
478,120,2613.16176217231,2204.36624636234,52.2632352434461
479,120,2640.88099173298,2223.88927527214,52.8176198346597
480,120,2668.29444314286,2243.38251678218,53.3658888628572
